S/No.,REGION,COUNTY,SUB,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
3396,COAST,LAMU,LCAENMTUR AL,43JK,06130201,MOKOWE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3397,COAST,LAMU,LCAENMTUR AL,HRNA,6130203,NDEU SENIOR,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3398,COAST,LAMU,LCAENMTUR AL,AZF8,06130104,WIYONI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3399,COAST,LAMU,LCAENMTUR EAALST,GZTS,06118201,KIUNGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3400,COAST,LAMU,LAMU EAST,2597,06118102,KIZINGITINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3401,COAST,LAMU,LAMU EAST,M2N2,06118104,PATTE GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
3402,COAST,LAMU,LAMU EAST,42GM,06118105,SHEIKH AHMAD MSALLAM,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3403,COAST,LAMU,LAMU EAST,W89H,06118103,SIYU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3404,COAST,LAMU,LAMU,D5ED,06104205,BAHARI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3405,COAST,LAMU,LWAEMSUT,3WL4,06104212,BOMANI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3406,COAST,LAMU,LWAEMSUT,4AEY,06104304,COAST ARID SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3407,COAST,LAMU,LWAEMSUT,7VEL,06104204,HONGWE SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3408,COAST,LAMU,WLAEMSUT,FWEF,06104210,KIONGWE MIXED DAY SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3409,COAST,LAMU,LWAEMSUT,6WU3,06104208,LAKE KENYATTA SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3410,COAST,LAMU,LWAEMSUT,42VW,6104305,MAISHA MASHA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3411,COAST,LAMU,LWAEMSUT,UP3V,06104209,MAJEMBENI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3412,COAST,LAMU,WLAEMSUT,Q66B,06104207,MKUNUMBI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3413,COAST,LAMU,WLAEMSUT,ETPJ,06104303,MOA SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3414,COAST,LAMU,LWAEMSUT,QXVK,06104213,MPEKETONI GIRLS HIGH SCH,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
3415,COAST,LAMU,LWAEMSUT,XB9B,6104306,MUTHAMA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3416,COAST,LAMU,LAMU,XDJR,06104206,UZIWA SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3417,COAST,LAMU,LWAEMSUT,AWUK,06104302,WITU MJINI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
3418,EASTERN,MACHAKOS,WATEHSIT-,FZMQ,12330120,ATHI RIVER MIXED SEC SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3419,EASTERN,MACHAKOS,ARITVHEIR-,SJN6,12330140,EMPAKASI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3420,EASTERN,MACHAKOS,RAITVHEIR-,8293,12330162,IVOVOANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3421,EASTERN,MACHAKOS,ARITVHEIR-,LJ98,12330138,KANAANI GIRLS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
3422,EASTERN,MACHAKOS,ARITVHEIR-,JG3R,12330128,KATANI DEB SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3423,EASTERN,MACHAKOS,RAITVHEIR-,BEC4,12330123,KINANIE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3424,EASTERN,MACHAKOS,RAITVHEIR-,PKKB,12330142,KWA KALUSYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3425,EASTERN,MACHAKOS,RAITVHEIR-,6UGB,12330105,KYUMBI SECONDARY SCHOOL,C4,PUBLIC,INTERGRATE,PH,DAY,MIXED
3426,EASTERN,MACHAKOS,RATIVHEIR-,B84M,12330127,MATHATANI SECONDARY SCHOOL,C4,PUBLIC,RDEGULAR,NONE,DAY,MIXED
3427,EASTERN,MACHAKOS,RATIVHEIR-,F4GF,12330104,MAVOKO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
3428,EASTERN,MACHAKOS,RATIVHEIR-,N7ZW,12330160,MAVOKO SNP SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3429,EASTERN,MACHAKOS,ARTIVHEIR-,SA74,12330102,MUTHWANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3430,EASTERN,MACHAKOS,RAITVHEIR-,5UEG,12330146,NDOVOINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3431,EASTERN,MACHAKOS,ARITVHEIR-,S4W7,12330139,NGALALYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3432,EASTERN,MACHAKOS,RATIVHEIR-,N2FU,12330151,PATRICK MAKAU NGELANI SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3433,EASTERN,MACHAKOS,RATIVHEIR-,SMJ7,12330103,ST. AUGUSTINE MLOLONGO SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3434,EASTERN,MACHAKOS,KRIAVLEARMA,M7QH,12363308,ABC KANYONGO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3435,EASTERN,MACHAKOS,KALAMA,VUQE,12363201,BARAKA S.A KAVYUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3436,EASTERN,MACHAKOS,KALAMA,S5ES,12363203,IIYUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3437,EASTERN,MACHAKOS,KALAMA,MNRU,12363313,KAMWELENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3438,EASTERN,MACHAKOS,KALAMA,PMSK,12363204,KATANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3439,EASTERN,MACHAKOS,KALAMA,83UV,12363106,KATUMANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3440,EASTERN,MACHAKOS,KALAMA,RVMW,12363307,KIATUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3441,EASTERN,MACHAKOS,KALAMA,SF9S,12363208,KIKUMBO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3442,EASTERN,MACHAKOS,KALAMA,C3YA,12363207,KINOI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3443,EASTERN,MACHAKOS,KALAMA,V7MV,12363209,KIUU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3444,EASTERN,MACHAKOS,KALAMA,4PTZ,12363102,KIVANDINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3445,EASTERN,MACHAKOS,KALAMA,WMFM,12363109,KWAKAVOO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3446,EASTERN,MACHAKOS,KALAMA,JA9Z,12363301,KYANDILI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3447,EASTERN,MACHAKOS,KALAMA,W66P,12363315,KYANZASU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3448,EASTERN,MACHAKOS,KALAMA,YP3H,12363206,KYAVITI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3449,EASTERN,MACHAKOS,KALAMA,243Y,12363314,MAKAKOI SECODARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3450,EASTERN,MACHAKOS,KALAMA,FHPH,12363310,MASAANI GIRLS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
3451,EASTERN,MACHAKOS,KALAMA,HL4U,12363312,MIWANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3452,EASTERN,MACHAKOS,KALAMA,QWUK,12363302,MULAANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3453,EASTERN,MACHAKOS,KALAMA,PGSV,12363303,MUTUYU MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3454,EASTERN,MACHAKOS,KALAMA,S5N4,12363202,NZAINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3455,EASTERN,MACHAKOS,KANGUNDO,L9MZ,12316120,A B C KATHITHYAMAA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3456,EASTERN,MACHAKOS,KANGUNDO,RB73,12316125,A I C KIKAMBUANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3457,EASTERN,MACHAKOS,KANGUNDO,MR4M,12316123,A I C MATETANI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3458,EASTERN,MACHAKOS,KANGUNDO,CPUL,12316135,A.I.C MATITHINI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3459,EASTERN,MACHAKOS,KANGUNDO,EMFX,12316129,AIC MUISUNI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3460,EASTERN,MACHAKOS,KANGUNDO,K7AC,12316133,D.E.B KANGUNDO INTERGRATED SECONDARY SCHOOL,C4,PUBLIC,INTERGRATE,VI,DAY,MIXED
3461,EASTERN,MACHAKOS,KANGUNDO,MC3W,12316108,KAKUYUNI SECONDARY SCHOOL,C4,PUBLIC,RDEGULAR,NONE,DAY,MIXED
3462,EASTERN,MACHAKOS,KANGUNDO,MXJ8,12316114,KAMANZI ABC SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3463,EASTERN,MACHAKOS,KANGUNDO,V2BV,12316134,KATHAANA DEB SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3464,EASTERN,MACHAKOS,KANGUNDO,9SZL,12316112,KAVILINGUNI HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3465,EASTERN,MACHAKOS,KANGUNDO,F8ED,12316116,KAWAUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3466,EASTERN,MACHAKOS,KANGUNDO,HMDK,12316105,KAWETHEI S.A GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
3467,EASTERN,MACHAKOS,KANGUNDO,TLAE,12316117,KWAKATHULE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3468,EASTERN,MACHAKOS,KANGUNDO,4YBP,12316111,KYEVALUKI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3469,EASTERN,MACHAKOS,KANGUNDO,LKYW,12316103,MANYATTA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
3470,EASTERN,MACHAKOS,KANGUNDO,RFFG,12316121,MBUSYANI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3471,EASTERN,MACHAKOS,KANGUNDO,83GJ,12316130,MIU ABC KIAMBA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3472,EASTERN,MACHAKOS,KANGUNDO,B5SZ,12316137,MUKUYUNI S.A SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3473,EASTERN,MACHAKOS,KANGUNDO,H3YY,12316113,MULINGANA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3474,EASTERN,MACHAKOS,KANGUNDO,AHWC,12316136,S.A KATHEINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3475,EASTERN,MACHAKOS,KANGUNDO,5352,12316115,ST. MARY'S MUKUNIKE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3476,EASTERN,MACHAKOS,KANGUNDO,N65M,12316131,ST. MICHAEL UNYUANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3477,EASTERN,MACHAKOS,KANGUNDO,6UMY,12316110,THE SALVATION ARMY IMILINI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3478,EASTERN,MACHAKOS,KATHIANI,LLRQ,12329122,ABC KWANGENGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3479,EASTERN,MACHAKOS,KATHIANI,5ST7,12329111,GENERAL MULINGE HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3480,EASTERN,MACHAKOS,KATHIANI,HQJQ,12329135,IKOLENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3481,EASTERN,MACHAKOS,KATHIANI,6A6S,12329108,KAEWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3482,EASTERN,MACHAKOS,KATHIANI,HF6L,12329127,KAIANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3483,EASTERN,MACHAKOS,KATHIANI,LZQT,12329128,KALIKYA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3484,EASTERN,MACHAKOS,KATHIANI,MFFY,12329138,KATHUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3485,EASTERN,MACHAKOS,KATHIANI,WZ2V,12329131,KAUTI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3486,EASTERN,MACHAKOS,KATHIANI,JNMS,12329105,KIKOMBI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3487,EASTERN,MACHAKOS,KATHIANI,KJDR,12329133,KING'ONG'OI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3488,EASTERN,MACHAKOS,KATHIANI,S5JH,12329125,KINYAU MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3489,EASTERN,MACHAKOS,KATHIANI,U9B7,12329130,KISOVO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3490,EASTERN,MACHAKOS,KATHIANI,4ZU3,12329106,KITIE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3491,EASTERN,MACHAKOS,KATHIANI,FN3Z,12329115,KITUVU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3492,EASTERN,MACHAKOS,KATHIANI,JR9D,12329136,LUMBWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3493,EASTERN,MACHAKOS,KATHIANI,W3HT,12329139,MAANZONI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3494,EASTERN,MACHAKOS,KATHIANI,8AH2,12329123,MBEE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3495,EASTERN,MACHAKOS,KATHIANI,2H9V,12329120,MBUUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3496,EASTERN,MACHAKOS,KATHIANI,U33F,12329109,MIUMBUNI A.I.C SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3497,EASTERN,MACHAKOS,KATHIANI,TVDH,12329113,NGIINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3498,EASTERN,MACHAKOS,KATHIANI,Z6LK,12329107,NGOLENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3499,EASTERN,MACHAKOS,KATHIANI,TKDX,12329132,NTHUNGUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3500,EASTERN,MACHAKOS,KATHIANI,HDJ4,12329129,REV. KITONYI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3501,EASTERN,MACHAKOS,KATHIANI,G766,12329110,ST. MARTIN KITHUNGUINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3502,EASTERN,MACHAKOS,KATHIANI,SM9C,12329134,ST.BENEDICTS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3503,EASTERN,MACHAKOS,KATHIANI,64J4,12329114,THINU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3504,EASTERN,MACHAKOS,KATHIANI,ZGD3,12329119,ST.VINCENT IMILINI SEC.SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3505,EASTERN,MACHAKOS,MACHAKOS,8TK4,12301741,A I C KIIMA KIMWE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3506,EASTERN,MACHAKOS,MACHAKOS,BSNS,12301816,A.I.C NGELANI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3507,EASTERN,MACHAKOS,MACHAKOS,9CFC,12301819,IKOKANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3508,EASTERN,MACHAKOS,MACHAKOS,VSHD,12301797,ILUVYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3509,EASTERN,MACHAKOS,MACHAKOS,R2F9,12301778,KAMUTHANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3510,EASTERN,MACHAKOS,MACHAKOS,BV4T,12301802,KASEVE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3511,EASTERN,MACHAKOS,MACHAKOS,45FF,12301812,KASINGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3512,EASTERN,MACHAKOS,MACHAKOS,FVW5,12301723,KATHEKA KAI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3513,EASTERN,MACHAKOS,MACHAKOS,QC2X,12301783,KEAA ABC SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3514,EASTERN,MACHAKOS,MACHAKOS,2L49,12301744,KISEVENI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3515,EASTERN,MACHAKOS,MACHAKOS,2XXM,12301782,KITEINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3516,EASTERN,MACHAKOS,MACHAKOS,KR9X,12301798,KITHIMA ABC SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3517,EASTERN,MACHAKOS,MACHAKOS,UW5Z,12301727,KITULU DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3518,EASTERN,MACHAKOS,MACHAKOS,KMQ4,12301791,KYAANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3519,EASTERN,MACHAKOS,MACHAKOS,FPYE,12301712,KYAMBUKO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3520,EASTERN,MACHAKOS,MACHAKOS,Q33V,12301728,KYANDA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3521,EASTERN,MACHAKOS,MACHAKOS,ZDM9,12301785,KYASILA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3522,EASTERN,MACHAKOS,MACHAKOS,7RDQ,12301800,KYEMUTHEKE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3523,EASTERN,MACHAKOS,MACHAKOS,3CKG,12301740,KYENI BAPTIST SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3524,EASTERN,MACHAKOS,MACHAKOS,CWLI,12301742,MACHAKOS TOWNSHIP SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3525,EASTERN,MACHAKOS,MACHAKOS,RPG9,12301815,MIWONGONI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3526,EASTERN,MACHAKOS,MACHAKOS,WQEE,12301746,MUA FARM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3527,EASTERN,MACHAKOS,MACHAKOS,NHWH,12301777,MUNGALA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3528,EASTERN,MACHAKOS,MACHAKOS,5A6D,12301716,NGOMENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3529,EASTERN,MACHAKOS,MACHAKOS,HA83,12301786,S.A MUTITUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
3530,EASTERN,MACHAKOS,MACHAKOS,G3XU,12301808,ST. BERNARD MAKYAU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3531,EASTERN,MACHAKOS,MACHAKOS,7TN9,12301804,ST. PATRICKS METUMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3532,EASTERN,MACHAKOS,MACHAKOS,3YE7,12301768,UPPER KITANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3533,EASTERN,MACHAKOS,MACHAKOS,B7R4,12301811,VOTA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3534,EASTERN,MACHAKOS,MASINGA,7H7P,12343327,EENDEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3535,EASTERN,MACHAKOS,MASINGA,76XD,12343333,IELANTHI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3536,EASTERN,MACHAKOS,MASINGA,GB9R,12343304,IIANI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3537,EASTERN,MACHAKOS,MASINGA,5JHJ,12343311,IKATINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3538,EASTERN,MACHAKOS,MASINGA,EG8U,12343340,ISYUKONI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3539,EASTERN,MACHAKOS,MASINGA,H6BY,12343348,IUUMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3540,EASTERN,MACHAKOS,MASINGA,AZBU,12343309,KAEWA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3541,EASTERN,MACHAKOS,MASINGA,MV8Y,12343332,KAKUKU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3542,EASTERN,MACHAKOS,MASINGA,WBZV,12343331,KAMUNYU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3543,EASTERN,MACHAKOS,MASINGA,TYZ5,12343346,KANGONDE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3544,EASTERN,MACHAKOS,MASINGA,PCCN,12343345,KAONYWENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3545,EASTERN,MACHAKOS,MASINGA,HN54,12343318,KASEVE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3546,EASTERN,MACHAKOS,MASINGA,EB8G,12343330,KASUVILO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3547,EASTERN,MACHAKOS,MASINGA,JQD3,12343326,KATHINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3548,EASTERN,MACHAKOS,MASINGA,89F4,12343343,KATHUI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3549,EASTERN,MACHAKOS,MASINGA,XNFL,12343319,KATHUKINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3550,EASTERN,MACHAKOS,MASINGA,5AUU,12343324,KIATINENI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3551,EASTERN,MACHAKOS,MASINGA,KNRG,12343337,KIKOMBA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3552,EASTERN,MACHAKOS,MASINGA,H576,12343336,KIKULE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3553,EASTERN,MACHAKOS,MASINGA,TNGM,12343305,KIKUMINI HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3554,EASTERN,MACHAKOS,MASINGA,W8GB,12343350,KISEUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3555,EASTERN,MACHAKOS,MASINGA,PRG8,12343308,KITANGANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3556,EASTERN,MACHAKOS,MASINGA,YYPL,12343349,KITHONI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3557,EASTERN,MACHAKOS,MASINGA,WRK8,12343347,KITUNENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3558,EASTERN,MACHAKOS,MASINGA,LSZE,12343317,KWAWANZILU MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3559,EASTERN,MACHAKOS,MASINGA,K89K,12343334,KYEETENI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3560,EASTERN,MACHAKOS,MASINGA,ST8Q,12343338,KYONDONI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3561,EASTERN,MACHAKOS,MASINGA,UNWL,12343322,MANANJA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3562,EASTERN,MACHAKOS,MASINGA,Y7WL,12343353,MASAKU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3563,EASTERN,MACHAKOS,MASINGA,PQQX,12343312,MATHAUTA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3564,EASTERN,MACHAKOS,MASINGA,R3NR,12343335,MIKUYUNI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
