S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
466,CENTRAL,KIAMBU,GITHUNGURI,GCGU,11232301,KOMOTHAI BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
467,CENTRAL,KIAMBU,GITHUNGURI,RCE9,11232304,KOMOTHAI GIRL'S TECHNICAL SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
468,CENTRAL,KIAMBU,KABETE,5KHM,11241005,KABETE HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
469,CENTRAL,KIAMBU,KABETE,VW8U,11241014,P.C.E.A. KANJERU BOOTH GIRLS' HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
470,CENTRAL,KIAMBU,KIAMBAA,Y3S2,11240110,ST. ANGELAS GIRLS HIGH SCHOOL KARURA,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
471,CENTRAL,KIAMBU,KIAMBU,7RY8,11205206,RIABAI HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
472,CENTRAL,KIAMBU,KIKUYU,864K,11230315,KIKUYU BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
473,CENTRAL,KIAMBU,KIKUYU,EJU8,11230401,KIKUYU DAY SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
474,CENTRAL,KIAMBU,KIKUYU,XXVM,11230406,MUSA GITAU SECONDARY SCHOOL,C3,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
475,CENTRAL,KIAMBU,LARI,GB2F,11231101,GATAMAIYU BOYS HIGH SCHOOL,C3,PUBLIC,RDEGULAR,NONE,BOARDING,BOYS
476,CENTRAL,KIAMBU,LARI,A3A4,11231217,GITUAMBA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
477,CENTRAL,KIAMBU,LARI,V485,11231203,KAMBAA GIRL'S HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
478,CENTRAL,KIAMBU,LARI,KMRR,11231204,KINALE GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
479,CENTRAL,KIAMBU,LARI,HD9Z,11231201,LARI BOYS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
480,CENTRAL,KIAMBU,LIMURU,SLU7,11211313,KAMANDURA GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
481,CENTRAL,KIAMBU,LIMURU,P2UL,11211301,NGENIA HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
482,CENTRAL,KIAMBU,LIMURU,KTP2,11211303,OUR LADY OF MERCY NGARARIGA GIRLS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
483,CENTRAL,KIAMBU,NDEIYA,SCDE,11246103,SSTCH. MOARY'S GIRLS - THIGIO,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
484,CENTRAL,KIAMBU,NDEIYA,LFXJ,11246102,THE SACRED HEART GIRLS' SECONDARY SCHOOL-,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
485,CENTRAL,KIAMBU,NDEIYA,6TEX,11246101,MTHIRIGITIOH UBOYS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
486,CENTRAL,KIAMBU,RUIRU,A4GF,11235103,RUIRU GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,HYBRID,GIRLS
487,CENTRAL,KIAMBU,THIKA EAST,PKEQ,11233301,MUNYU GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
488,CENTRAL,KIAMBU,THIKA EAST,MU28,11233303,ST. PAUL'S GATUANYAGA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
489,CENTRAL,KIAMBU,THIKA WEST,8653,11207125,THIKA GIRLS KARIBARIBI SECONDARY SCH,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
490,COAST,KILIFI,CHONYI,UBAG,4129203,DZITSONI,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
